  0%|          | 0/5000 [00:00<?, ?it/s][WARNING|logging.py:328] 2025-08-28 23:15:51,257 >> `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                   
{'loss': 0.06, 'grad_norm': 0.2587605118751526, 'learning_rate': 2.06e-06, 'epoch': 0.02}
{'loss': 0.0612, 'grad_norm': 0.23448321223258972, 'learning_rate': 2.08e-06, 'epoch': 0.02}
{'loss': 0.0625, 'grad_norm': 0.41012516617774963, 'learning_rate': 2.1000000000000002e-06, 'epoch': 0.02}
{'loss': 0.0608, 'grad_norm': 0.2795891761779785, 'learning_rate': 2.12e-06, 'epoch': 0.02}
{'loss': 0.0623, 'grad_norm': 0.43855780363082886, 'learning_rate': 2.1400000000000003e-06, 'epoch': 0.02}
{'loss': 0.0607, 'grad_norm': 0.27816492319107056, 'learning_rate': 2.16e-06, 'epoch': 0.02}
{'loss': 0.063, 'grad_norm': 0.39074233174324036, 'learning_rate': 2.1800000000000003e-06, 'epoch': 0.02}
{'loss': 0.0615, 'grad_norm': 0.6041037440299988, 'learning_rate': 2.2e-06, 'epoch': 0.02}
{'loss': 0.0627, 'grad_norm': 0.5061613917350769, 'learning_rate': 2.2200000000000003e-06, 'epoch': 0.02}
{'loss': 0.062, 'grad_norm': 0.21947689354419708, 'learning_rate': 2.24e-06, 'epoch': 0.02}
{'loss': 0.0609, 'grad_norm': 0.5015553832054138, 'learning_rate': 2.2600000000000004e-06, 'epoch': 0.02}
{'loss': 0.0616, 'grad_norm': 0.2673529386520386, 'learning_rate': 2.28e-06, 'epoch': 0.02}
{'loss': 0.0598, 'grad_norm': 0.2889907658100128, 'learning_rate': 2.3000000000000004e-06, 'epoch': 0.02}
{'loss': 0.0596, 'grad_norm': 0.28279024362564087, 'learning_rate': 2.3200000000000002e-06, 'epoch': 0.02}
{'loss': 0.0592, 'grad_norm': 0.26532188057899475, 'learning_rate': 2.3400000000000005e-06, 'epoch': 0.02}
{'loss': 0.0617, 'grad_norm': 0.3216705918312073, 'learning_rate': 2.3600000000000003e-06, 'epoch': 0.02}
{'loss': 0.0615, 'grad_norm': 0.3758120834827423, 'learning_rate': 2.38e-06, 'epoch': 0.02}
{'loss': 0.0584, 'grad_norm': 0.277540922164917, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.02}
{'loss': 0.0606, 'grad_norm': 0.23588140308856964, 'learning_rate': 2.42e-06, 'epoch': 0.02}
{'loss': 0.06, 'grad_norm': 0.3163934648036957, 'learning_rate': 2.4400000000000004e-06, 'epoch': 0.02}
{'loss': 0.0573, 'grad_norm': 0.25832459330558777, 'learning_rate': 2.46e-06, 'epoch': 0.02}
{'loss': 0.0581, 'grad_norm': 0.24644292891025543, 'learning_rate': 2.4800000000000004e-06, 'epoch': 0.03}
{'loss': 0.0604, 'grad_norm': 0.18804208934307098, 'learning_rate': 2.5e-06, 'epoch': 0.03}
{'loss': 0.059, 'grad_norm': 0.2858072519302368, 'learning_rate': 2.52e-06, 'epoch': 0.03}
{'loss': 0.0592, 'grad_norm': 0.2867497503757477, 'learning_rate': 2.5400000000000002e-06, 'epoch': 0.03}
{'loss': 0.0608, 'grad_norm': 0.35638824105262756, 'learning_rate': 2.56e-06, 'epoch': 0.03}
{'loss': 0.0554, 'grad_norm': 0.34929874539375305, 'learning_rate': 2.5800000000000003e-06, 'epoch': 0.03}
{'loss': 0.0595, 'grad_norm': 0.4386759102344513, 'learning_rate': 2.6e-06, 'epoch': 0.03}
{'loss': 0.059, 'grad_norm': 0.27860337495803833, 'learning_rate': 2.6200000000000003e-06, 'epoch': 0.03}
{'loss': 0.0586, 'grad_norm': 0.398646742105484, 'learning_rate': 2.64e-06, 'epoch': 0.03}
{'loss': 0.0589, 'grad_norm': 0.5129799246788025, 'learning_rate': 2.6600000000000004e-06, 'epoch': 0.03}
{'loss': 0.0579, 'grad_norm': 0.5034257173538208, 'learning_rate': 2.68e-06, 'epoch': 0.03}
{'loss': 0.059, 'grad_norm': 0.7842686176300049, 'learning_rate': 2.7000000000000004e-06, 'epoch': 0.03}
{'loss': 0.0575, 'grad_norm': 0.2288217544555664, 'learning_rate': 2.7200000000000002e-06, 'epoch': 0.03}
{'loss': 0.0595, 'grad_norm': 0.3538213074207306, 'learning_rate': 2.7400000000000004e-06, 'epoch': 0.03}
